"","date","location","new_cases","new_deaths","total_cases","total_deaths","Changes","Growth_Factor","Growth_Rate"
"1",2020-01-21,"Thailand",NA,NA,2,NA,0,NA,0
"2",2020-01-22,"Thailand",0,NA,2,NA,0,NA,0
"3",2020-01-23,"Thailand",2,NA,4,NA,2,NA,100
"4",2020-01-24,"Thailand",0,NA,4,NA,0,0,0
"5",2020-01-25,"Thailand",0,NA,4,NA,0,NA,0
"6",2020-01-26,"Thailand",1,NA,5,NA,1,NA,25
"7",2020-01-27,"Thailand",0,NA,5,NA,0,0,0
"8",2020-01-28,"Thailand",9,NA,14,NA,9,NA,180
"9",2020-01-29,"Thailand",0,NA,14,NA,0,0,0
"10",2020-01-30,"Thailand",0,NA,14,NA,0,NA,0
"11",2020-01-31,"Thailand",0,NA,14,NA,0,NA,0
"12",2020-02-01,"Thailand",5,NA,19,NA,5,NA,35.7142857142857
"13",2020-02-02,"Thailand",0,NA,19,NA,0,0,0
"14",2020-02-03,"Thailand",0,NA,19,NA,0,NA,0
"15",2020-02-04,"Thailand",0,NA,19,NA,0,NA,0
"16",2020-02-05,"Thailand",6,NA,25,NA,6,NA,31.5789473684211
"17",2020-02-06,"Thailand",0,NA,25,NA,0,0,0
"18",2020-02-07,"Thailand",0,NA,25,NA,0,NA,0
"19",2020-02-08,"Thailand",7,NA,32,NA,7,NA,28
"20",2020-02-09,"Thailand",0,NA,32,NA,0,0,0
"21",2020-02-10,"Thailand",0,NA,32,NA,0,NA,0
"22",2020-02-11,"Thailand",1,NA,33,NA,1,NA,3.125
"23",2020-02-12,"Thailand",0,NA,33,NA,0,0,0
"24",2020-02-13,"Thailand",0,NA,33,NA,0,NA,0
"25",2020-02-14,"Thailand",0,NA,33,NA,0,NA,0
"26",2020-02-15,"Thailand",1,NA,34,NA,1,NA,3.03030303030303
"27",2020-02-16,"Thailand",0,NA,34,NA,0,0,0
"28",2020-02-17,"Thailand",1,NA,35,NA,1,NA,2.94117647058824
"29",2020-02-18,"Thailand",0,NA,35,NA,0,0,0
"30",2020-02-19,"Thailand",0,NA,35,NA,0,NA,0
"31",2020-02-20,"Thailand",0,NA,35,NA,0,NA,0
"32",2020-02-21,"Thailand",0,NA,35,NA,0,NA,0
"33",2020-02-22,"Thailand",0,NA,35,NA,0,NA,0
"34",2020-02-23,"Thailand",0,NA,35,NA,0,NA,0
"35",2020-02-24,"Thailand",0,NA,35,NA,0,NA,0
"36",2020-02-25,"Thailand",2,NA,37,NA,2,NA,5.71428571428571
"37",2020-02-26,"Thailand",3,NA,40,NA,3,1.5,8.10810810810811
"38",2020-02-27,"Thailand",0,NA,40,NA,0,0,0
"39",2020-02-28,"Thailand",0,NA,40,NA,0,NA,0
"40",2020-02-29,"Thailand",2,NA,42,NA,2,NA,5
"41",2020-03-01,"Thailand",0,NA,42,NA,0,0,0
"42",2020-03-02,"Thailand",0,NA,42,1,0,NA,0
"43",2020-03-03,"Thailand",1,0,43,1,1,NA,2.38095238095238
"44",2020-03-04,"Thailand",0,0,43,1,0,0,0
"45",2020-03-05,"Thailand",4,0,47,1,4,NA,9.30232558139535
"46",2020-03-06,"Thailand",0,0,47,1,0,0,0
"47",2020-03-07,"Thailand",1,0,48,1,1,NA,2.12765957446809
"48",2020-03-08,"Thailand",2,0,50,1,2,2,4.16666666666667
"49",2020-03-09,"Thailand",0,0,50,1,0,0,0
"50",2020-03-10,"Thailand",3,0,53,1,3,NA,6
"51",2020-03-11,"Thailand",6,0,59,1,6,2,11.3207547169811
"52",2020-03-12,"Thailand",11,0,70,1,11,1.83333333333333,18.6440677966102
"53",2020-03-13,"Thailand",5,0,75,1,5,0.454545454545455,7.14285714285714
"54",2020-03-14,"Thailand",7,0,82,1,7,1.4,9.33333333333333
"55",2020-03-15,"Thailand",32,0,114,1,32,4.57142857142857,39.0243902439024
"56",2020-03-16,"Thailand",33,0,147,1,33,1.03125,28.9473684210526
"57",2020-03-17,"Thailand",30,0,177,1,30,0.909090909090909,20.4081632653061
"58",2020-03-18,"Thailand",35,0,212,1,35,1.16666666666667,19.774011299435
"59",2020-03-19,"Thailand",60,0,272,1,60,1.71428571428571,28.3018867924528
"60",2020-03-20,"Thailand",50,0,322,1,50,0.833333333333333,18.3823529411765
