"","date","location","new_cases","new_deaths","total_cases","total_deaths","pui","Changes","Growth_Factor","Growth_Rate","Changes_PUI","Growth_Factor_PUI","Growth_Rate_PUI","testpercase","Growth_Factor_Death"
"1",2020-01-21,"Thailand",NA,NA,2,NA,38,0,NA,0,0,NA,0,19,NA
"2",2020-01-22,"Thailand",0,NA,2,NA,46,0,NA,0,8,NA,21.0526315789474,23,NA
"3",2020-01-23,"Thailand",2,NA,4,NA,53,2,NA,100,7,0.875,15.2173913043478,13.25,NA
"4",2020-01-24,"Thailand",0,NA,4,NA,60,0,0,0,7,1,13.2075471698113,15,NA
"5",2020-01-25,"Thailand",0,NA,4,NA,84,0,NA,0,24,3.42857142857143,40,21,NA
"6",2020-01-26,"Thailand",1,NA,5,NA,102,1,NA,25,18,0.75,21.4285714285714,20.4,NA
"7",2020-01-27,"Thailand",0,NA,5,NA,136,0,0,0,34,1.88888888888889,33.3333333333333,27.2,NA
"8",2020-01-28,"Thailand",9,NA,14,NA,158,9,NA,180,22,0.647058823529412,16.1764705882353,11.2857142857143,NA
"9",2020-01-29,"Thailand",0,NA,14,NA,202,0,0,0,44,2,27.8481012658228,14.4285714285714,NA
"10",2020-01-30,"Thailand",0,NA,14,NA,280,0,NA,0,78,1.77272727272727,38.6138613861386,20,NA
"11",2020-01-31,"Thailand",0,NA,14,NA,344,0,NA,0,64,0.82051282051282,22.8571428571429,24.5714285714286,NA
"12",2020-02-01,"Thailand",5,NA,19,NA,382,5,NA,35.7142857142857,38,0.59375,11.046511627907,20.1052631578947,NA
"13",2020-02-02,"Thailand",0,NA,19,NA,485,0,0,0,103,2.71052631578947,26.9633507853403,25.5263157894737,NA
"14",2020-02-03,"Thailand",0,NA,19,NA,492,0,NA,0,7,0.0679611650485437,1.44329896907216,25.8947368421053,NA
"15",2020-02-04,"Thailand",0,NA,19,NA,549,0,NA,0,57,8.14285714285714,11.5853658536585,28.8947368421053,NA
"16",2020-02-05,"Thailand",6,NA,25,NA,595,6,NA,31.5789473684211,46,0.807017543859649,8.37887067395264,23.8,NA
"17",2020-02-06,"Thailand",0,NA,25,NA,615,0,0,0,20,0.434782608695652,3.36134453781513,24.6,NA
"18",2020-02-07,"Thailand",0,NA,25,NA,654,0,NA,0,39,1.95,6.34146341463415,26.16,NA
"19",2020-02-08,"Thailand",7,NA,32,NA,679,7,NA,28,25,0.641025641025641,3.82262996941896,21.21875,NA
"20",2020-02-09,"Thailand",0,NA,32,NA,679,0,0,0,0,0,0,21.21875,NA
"21",2020-02-10,"Thailand",0,NA,32,NA,702,0,NA,0,23,NA,3.38733431516937,21.9375,NA
"22",2020-02-11,"Thailand",1,NA,33,NA,799,1,NA,3.125,97,4.21739130434783,13.8176638176638,24.2121212121212,NA
